Date	Open	High	Low	Close	Adj Close	Volume
1986-06-03	3094.300049	3096.800049	3084.100098	3096.5	3088.636719	87200
1986-06-04	3098.199951	3100.600098	3083.899902	3095.5	3087.63916	139600
1986-06-05	3090.5	3091.100098	3077	3084.399902	3076.567139	150900
1986-06-06	3082.300049	3094.199951	3082.300049	3090.699951	3082.851074	135400
1986-06-09	3082.800049	3082.800049	3062.100098	3064.100098	3056.318848	130100
1986-06-10	3058.199951	3061.899902	3048.699951	3050.199951	3042.454346	149300
1986-06-11	3053	3069.800049	3053	3069.800049	3062.00415	162600
1986-06-12	3071.100098	3076.600098	3069.199951	3073	3065.196045	144600
1986-06-13	3078.600098	3091.600098	3078.600098	3089	3081.155762	158500
1986-06-16	3089.100098	3089.100098	3071.800049	3072.300049	3064.498291	100600
1986-06-17	3074.199951	3075.800049	3064.699951	3066.100098	3058.313721	130900
1986-06-18	3066.399902	3069.300049	3062.5	3066.699951	3058.912109	136200
1986-06-19	3066	3066	3060.199951	3060.199951	3052.428711	145200
1986-06-20	3061.300049	3063	3057.5	3059.800049	3052.029541	163700
1986-06-23	3058.399902	3060.199951	3049.699951	3052.199951	3044.448975	150200
1986-06-24	3052.199951	3061.100098	3050.600098	3058.199951	3050.433838	110900
1986-06-25	3059.5	3071.300049	3059.5	3068.199951	3060.408691	120800
1986-06-26	3070.399902	3076.600098	3067.699951	3068.800049	3061.006592	181800
1986-06-27	3072	3072.300049	3068	3070.300049	3062.503174	160800
1986-06-30	3070.899902	3085.5	3070.899902	3085.5	3077.664307	111600
1986-07-01	3085.5	3085.5	3085.5	3085.5	3077.664307	0
1986-07-02	3079.899902	3090.699951	3078.300049	3089.899902	3082.053223	146500
1986-07-03	3088.399902	3092.100098	3084.100098	3092.100098	3084.247803	151800
1986-07-04	3093	3094	3089	3092	3084.147949	131400
1986-07-07	3089	3089	3041.600098	3042.199951	3034.474121	152600
1986-07-08	3024.699951	3024.699951	2994.699951	2997.300049	2989.688232	165400
1986-07-09	3004.100098	3018.199951	3003.300049	3013.100098	3005.448242	146000
1986-07-10	3017.300049	3021.300049	3007.100098	3014.899902	3007.243652	160100
1986-07-11	3021.800049	3027.100098	3021.800049	3024.100098	3016.420654	121600
1986-07-14	3020.5	3020.5	2999.399902	2999.399902	2991.782959	124900
1986-07-15	2995.199951	2995.199951	2974.899902	2978	2970.4375	146200
1986-07-16	2977.399902	2986.100098	2975.199951	2976.399902	2968.841309	160600
1986-07-17	2975.300049	2976.100098	2968.199951	2969	2961.460205	138500
1986-07-18	2966.5	2967.899902	2951.100098	2962.5	2954.976807	161200
1986-07-21	2961.5	2969.600098	2957.600098	2968.100098	2960.562988	119600
1986-07-22	2965.800049	2978.100098	2965.800049	2971.100098	2963.555176	165100
1986-07-23	2970.199951	2970.199951	2961.699951	2966.5	2958.966797	177400
1986-07-24	2963.699951	2965.800049	2952.5	2952.5	2945.001953	174400
1986-07-25	2954.199951	2959.899902	2954.199951	2957.5	2949.989502	149700
1986-07-28	2960.600098	2960.600098	2940.899902	2940.899902	2933.431396	150000
1986-07-29	2940	2940.800049	2931.899902	2934.800049	2927.347412	147700
1986-07-30	2934	2935.100098	2925	2931.100098	2923.656738	154000
1986-07-31	2934.100098	2936.899902	2929	2935.300049	2927.845703	189600
1986-08-01	2936.699951	2944.399902	2930.699951	2932.5	2925.052979	167700
1986-08-04	2932.5	2932.5	2932.5	2932.5	2925.052979	0
1986-08-05	2944.899902	2966.399902	2944.899902	2955.699951	2948.193848	202100
1986-08-06	2959.100098	2986.800049	2958.699951	2986.800049	2979.215088	162900
1986-08-07	2989.800049	3007.800049	2989.800049	3004.199951	2996.571045	213600
1986-08-08	3012.100098	3018.899902	3012.100098	3017.600098	3009.937012	231300
1986-08-11	3041.899902	3041.899902	3041.899902	3041.899902	3034.174805	239600
1986-08-12	3041.300049	3042.100098	3035.199951	3038.399902	3030.683838	164300
1986-08-13	3044.899902	3044.899902	3035.399902	3039	3031.282715	191500
1986-08-14	3035.600098	3035.600098	3028.5	3030.800049	3023.10376	185200
1986-08-15	3029.5	3033.699951	3028.600098	3031.199951	3023.502441	135600
1986-08-18	3031.399902	3031.399902	3017.199951	3017.199951	3009.537842	154500
1986-08-19	3014.5	3014.5	3003.5	3006.899902	2999.26416	157900
1986-08-20	3007	3019.199951	3006.399902	3019.199951	3011.532715	167000
1986-08-21	3024.300049	3027	3017.399902	3020.800049	3013.12915	161000
1986-08-22	3019.699951	3021.399902	3012.800049	3015.800049	3008.141602	165900
1986-08-25	3018.5	3018.600098	3015.699951	3017.300049	3009.637695	106400
1986-08-26	3014.600098	3036.399902	3014.600098	3036.399902	3028.688965	138300
1986-08-27	3042	3047.699951	3037.600098	3038.100098	3030.38501	168400
1986-08-28	3041.399902	3041.399902	3030.399902	3034.600098	3026.893799	127600
1986-08-29	3031.899902	3034.399902	3027.899902	3028.199951	3020.51001	151900
1986-09-02	3035.899902	3045.5	3029.199951	3040	3032.279785	167300
1986-09-03	3046.300049	3059.100098	3046.300049	3058.300049	3050.533447	225300
1986-09-04	3063.699951	3096.399902	3063.699951	3096.399902	3088.536621	218200
1986-09-05	3110.600098	3118	3104.300049	3107.600098	3099.708252	303200
1986-09-08	3104.699951	3107.600098	3091.899902	3092.199951	3084.347412	173400
1986-09-09	3093.199951	3099.5	3091.600098	3094.699951	3086.841064	218300
1986-09-10	3101.600098	3104.399902	3093.199951	3096.100098	3088.237793	238000
1986-09-11	3089.699951	3089.699951	3020.600098	3020.899902	3013.228271	206500
1986-09-12	3019.399902	3019.399902	2986.399902	3002.300049	2994.675781	203900
1986-09-15	3004.199951	3019	3004.199951	3019	3011.333252	113400
1986-09-16	3007.199951	3007.199951	2988.5	2996.899902	2989.289551	152800
1986-09-17	2995.300049	2998.300049	2991.300049	2991.300049	2983.703857	206000
1986-09-18	2989	2989	2983.600098	2984.800049	2977.220215	206000
1986-09-19	2995.699951	3008.399902	2995.699951	3008.399902	3000.76001	204000
